song_id,filename,filepath,genre_id,genre,length,mean_stft,var_stft,tempo,rms_mean,rms_var,centroid_mean,centroid_var,bandwidth_mean,bandwidth_var,rolloff_mean,rolloff_var,crossing_mean,crossing_var,harmonic_mean,harmonic_var,contrast_mean,contrast_var,key,key_name,scale,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0,화사 (Hwa Sa)-02-마리아 (Maria)-María-192.mp3,/workspace/data/댄스/화사 (Hwa Sa)-02-마리아 (Maria)-María-192.mp3,0,Dance,198.98884353741497,0.3704335,0.091870576,129.19921875,0.20374251678962116,0.0058028897527302855,2093.4000026616463,567046.9861669438,2152.0738960674316,295716.88196211326,4374.708914294961,2325346.1945988904,0.08410966443626021,0.0027786491563330943,-0.00021184051,0.07881692,21.19675442574089,47.77732552913752,9,A,minor,-45.926277,10002.019,97.71288,1186.854,-17.675762,563.16205,25.694958,671.10547,-10.719181,263.6802,11.249014,279.55862,0.20130478,236.72635,-0.265758,358.82764,-5.0183096,163.50539,12.692033,229.69612,-13.020501,151.14674,7.813152,142.39066,-3.978393,99.31926,6.417214,108.69,-4.737688,84.6733,5.5403004,91.87773,-7.3454323,82.9526,5.5995827,81.35387,-6.553307,70.27395,4.465244,85.759674
1,휘파람_BLACKPINK.mp3,/workspace/data/댄스/휘파람_BLACKPINK.mp3,0,Dance,211.723537414966,0.37836394,0.10091065,103.359375,0.1812866738872785,0.006679315498545905,2517.2107064252923,1191270.9620061575,2429.261026560178,277398.9629924212,5263.19042079895,4038222.6624402106,0.1043219664128468,0.007956010539458025,1.0381103e-05,0.06826817,21.26888021816841,59.43498983097763,1,C#,minor,-78.9703,10166.334,70.60153,1865.0374,-7.189683,927.857,23.905413,610.0732,-1.1417283,466.2771,19.567194,439.22113,-7.1200604,293.20892,16.375767,283.80026,-5.2368603,199.8141,16.864376,210.79315,-10.289911,184.28214,13.210409,155.40399,-3.1446528,135.48509,8.779571,114.619606,-4.9936547,97.37546,5.470957,92.99953,-5.5882773,88.601135,7.789039,89.12636,-1.958455,109.3365,5.2757397,110.58261
3,불장난_BLACKPINK.mp3,/workspace/data/댄스/불장난_BLACKPINK.mp3,0,Dance,197.3039455782313,0.36649862,0.09406403,95.703125,0.15701297423457194,0.00478236961140129,2674.7652730787186,774570.5474062362,2534.7826266683137,352007.6548982308,5773.812438864292,3303048.134098948,0.112816641599494,0.0035968477184902597,0.00074200745,0.041345917,21.327603997469197,50.08952699205174,7,G,Major,-55.98099,8294.035,73.211174,1477.1268,-4.15273,758.59015,28.09068,437.884,-4.298733,272.16,15.760282,248.7027,-3.3151345,141.23895,15.0153675,179.8873,-6.85827,131.7186,17.075438,181.3327,-10.5924425,113.30664,10.383768,121.10163,-8.334014,103.20882,7.1066117,94.66876,-5.779556,101.30606,11.479845,123.95483,0.95521045,114.70507,9.984463,119.16341,-0.18687922,108.9655,8.0004425,134.43785
5,멍청이 (twit)_화사 (Hwa Sa).mp3,/workspace/data/댄스/멍청이 (twit)_화사 (Hwa Sa).mp3,0,Dance,190.9300680272109,0.37824148,0.090964794,135.99917763157896,0.17753085921691317,0.007329882354270421,2214.5567104406473,639377.6552631388,2265.8696825970655,221337.6940762059,4651.58431322111,2395959.5806241366,0.09606546139638818,0.0035677652012163054,-2.761534e-06,0.06243779,20.872278066729862,44.540203040129306,10,A#,minor,-56.96393,8173.8867,92.96169,1100.8345,-7.811554,483.0347,34.157352,317.13004,-11.001098,207.08435,11.848445,244.30602,-1.6670226,216.72424,4.116306,242.84044,-0.88099414,196.27563,12.495654,270.54822,-14.521335,145.27672,2.1977584,179.6006,-5.684546,119.41048,4.452036,136.41138,-8.600966,131.87836,7.652421,128.16534,-8.810407,90.74317,6.425534,91.06932,-2.4560077,96.189224,5.6205993,92.6518
6,오마이걸-01-살짝 설렜어 (Nonstop)-NONSTOP-192.mp3,/workspace/data/댄스/오마이걸-01-살짝 설렜어 (Nonstop)-NONSTOP-192.mp3,0,Dance,202.75047619047618,0.36611348,0.08797345,123.046875,0.16229144895523215,0.004991790027387794,2897.4361244689717,771971.3957341351,2593.3519845875867,148550.66462362095,5984.84210487467,2253215.590265604,0.14384401035702016,0.006928525117171158,2.562856e-07,0.037198223,20.746499594388535,48.3607571664861,9,A,minor,-21.401966,7139.577,72.00857,1015.0355,-10.920623,489.08658,21.460142,313.68457,-11.576004,175.89786,15.434419,214.86392,-8.996882,115.37676,11.389344,129.91669,-3.798622,98.920265,13.6326885,106.48072,-11.580811,99.62178,13.411512,95.56503,-7.444652,100.778625,12.069553,92.35874,-6.7542195,91.01615,7.9895616,90.85079,-6.902258,96.703476,5.4238744,92.78936,-5.3621426,76.4649,5.4082465,81.58055
7,TWICE - 01 - CHEER UP-201604.mp3,/workspace/data/댄스/TWICE - 01 - CHEER UP-201604.mp3,0,Dance,208.8761904761905,0.31804666,0.09154428,172.265625,0.19226096653903255,0.005972679361000314,2616.3151636211724,550775.4203864216,2395.0063513954346,181664.9376343057,5323.24071386328,2009713.370633331,0.12721040080313473,0.0035362753694773976,-2.4614494e-05,0.06696822,21.265000598402384,50.514758788761405,8,G#,Major,-20.110897,8656.403,74.2835,937.9122,-19.35892,448.34723,25.528238,284.45648,-9.168774,161.71281,13.703114,261.14624,-6.753237,148.40193,11.725856,176.84993,-4.320666,131.29097,14.661804,111.720085,-11.954991,101.18873,9.57923,89.251495,-8.869639,105.97339,12.131905,137.67868,-6.6081147,122.43878,8.865478,142.3947,-4.3281493,149.10222,5.132995,136.97488,-3.2252183,103.24119,4.8321776,113.79754
8,피노키오 (Danger)_f(x).mp3,/workspace/data/댄스/피노키오 (Danger)_f(x).mp3,0,Dance,189.75455782312926,0.4263655,0.08817559,117.45383522727273,0.10778737447043146,0.002142692639315123,2478.908777596842,618642.1227442115,2366.5980919548997,115994.99535348712,5102.095275005162,1990414.0903782144,0.12601945812431176,0.0055289280431655,-7.246801e-06,0.012957108,19.43862808316057,57.2116340811176,7,G,Major,-64.71247,5577.272,85.76798,856.139,-20.103003,506.49176,31.560236,257.3231,-3.7482371,155.73042,18.319138,164.27159,-7.665738,92.22478,18.390245,120.461426,-8.76623,90.30803,17.096058,86.695625,-12.535212,71.225204,11.764306,57.64703,-6.4380755,59.978706,8.0037365,51.177826,-6.9074383,52.958805,8.075819,57.766476,-2.842981,73.26658,8.289056,81.20352,1.2761337,100.665146,8.592632,72.513756
9,TT_TWICE (트와이스).mp3,/workspace/data/댄스/TT_TWICE (트와이스).mp3,0,Dance,213.05578231292517,0.38431084,0.09605357,129.19921875,0.17184958799448616,0.0050309584148712835,2498.2438622099285,467187.98501112405,2392.3965478994287,145559.18288822583,5198.567206358639,1856138.8108694425,0.10689810076898976,0.003424827246949169,-3.0091176e-05,0.061119676,21.535067418227392,51.117629037174815,9,A,minor,-43.748085,5699.5293,76.6199,823.86365,-19.114126,479.9321,24.19467,333.97055,-9.84233,148.00908,19.886496,195.06474,-2.3941274,116.39233,12.278943,206.82947,-3.2813406,120.82242,11.691724,151.5333,-13.243317,97.5714,9.273655,117.5908,-8.08212,102.04465,10.878608,130.70953,-2.2484198,117.215126,15.171537,149.5168,3.327233,133.65681,11.415478,128.60385,-0.53593284,140.29181,3.20654,137.14967
10,Destiny (나의 지구)_러블리즈.mp3,/workspace/data/댄스/Destiny (나의 지구)_러블리즈.mp3,0,Dance,213.39537414965986,0.3524765,0.08738555,107.666015625,0.20071928336440661,0.005345465807185787,2725.5153582442035,402368.8713478829,2603.279148611864,103216.8353820273,5877.087281482054,1498281.071549331,0.1289075781505005,0.0031201182098645665,-0.0010668087,0.06290795,20.460647222428797,44.864630762067016,9,A,minor,-0.02812109,6916.2427,73.40068,494.4717,-5.84545,250.86497,34.13982,164.88612,-3.7509062,93.95222,15.981668,154.99034,-5.9257207,72.70943,13.747922,92.625336,-6.9459596,71.09817,14.976596,76.23764,-13.944384,91.248344,11.237374,78.360535,-8.907342,64.92106,10.932123,77.355835,-5.155784,74.77537,11.9598675,81.92526,-5.3307867,78.78162,8.457173,92.00734,-4.282757,95.43377,6.9212713,105.03347
11,Power Up_Red Velvet (레드벨벳).mp3,/workspace/data/댄스/Power Up_Red Velvet (레드벨벳).mp3,0,Dance,202.058231292517,0.41773108,0.08793636,161.4990234375,0.14408454494430376,0.005910216612669564,2583.8967164438436,610661.8213960428,2392.476678473096,130915.04619148043,5198.239454875675,2130106.113782437,0.13132846615720525,0.005443328402803289,-2.6654e-05,0.032221116,20.561849139416974,54.097496861186386,10,A#,Major,-44.467957,6174.5576,77.92276,1069.2977,-21.556225,606.02454,21.082338,390.60834,-10.976024,237.9414,5.858702,320.05573,-8.702703,159.42035,8.341799,177.25508,-10.098008,128.75017,12.513776,111.68895,-17.353987,130.97353,14.151697,129.15102,-8.114882,95.31921,5.1123977,117.143456,-7.8892045,87.92015,3.978359,76.635605,-6.8630557,80.96195,5.636312,80.47409,-3.638375,85.075424,2.5763667,83.426674
